,id,title,author,genre,story,platform
104,104,이세계에서 로그아웃하는 방법,Neoman,#가상현실#빙의#시스템#탈출#판타지#액션#목,"가상현실게임 '코스모스'에 갇힌 지 1,095일- 이 지옥같은 세계에서 벗어날 수 있는 방법은 하나. 「'???'을 죽여라.」 난 반드시 '???'을 죽이고 이곳을 벗어날 것이다.",탑툰
105,105,청소부K,신진우&홍순식,#영화#복수#청소부k 작가#스릴러#액션#완결,"대한민국 3천만 독자의 검증을 받은 <청소부K>. 그의 두번째 전설이 시작된다. 딸을 강간한 권력자들을 말살해 수배범이 된 김진(金眞). 그의 또 다른 이름 ""청소부K"" 은신생활을 하던 그의 앞에서 또 다시 극악무도한 인신매매가 벌어진다. 서울에서는 '청소부K'를 자청하는 모방범이 기승을 부리는 와중에 김진은 동료의 부탁에 따라 일본으로 향하게 된다. 그리고 그를 중심으로 일어나는 수많은 장애.. 과연 김진의 운명은?!",탑툰
106,106,골브레이커,준기,#개그#개꿀잼#17금#골브레이커#옴니버스#일상#코믹#일상#금,"방심하던 당신의 골을 강타하는 아슬아슬한 17금 개그의 골 때리는 만화가 왔다!! 여왕님, 당신을 주십시오!!",탑툰
107,107,건물주 누나,콩비지,#건물주#순수녀#누나#백치미#자매#로맨스#드라마#금,"착하고 예쁜 하리는, 늘 자신의 집에 얹혀사는 민우를 챙겨준다. 정작 민우는 하리를 누나도 아닌 '아줌마'라 부르며 무시해왔는데... 자신을 남자로 보지 않았다는 듯한 말에 괜히 자존심이 상한다. 충동적으로 누나를 붙잡게 된 순간! 뭐야? 왜 두근거리는 건데!!?",탑툰
108,108,놈의 기억,윤이나&백진우&김종현,#미스테리#소설원작#스릴러#복수#판타지#의사#드라마#액션#금,"천재 뇌 과학자 한정우는 사랑스러운 아내가 싸늘한 주검이 되어 있는 것을 발견한 순간 괴한이 휘두른 둔기에 머리를 맞고 의식을 잃고 쓰러진다. 1년 후, 범인을 잡겠다고 다짐하며 기억 속에서 흔적을 찾기 시작하는데… 놈의 기억은 이제 내 머릿속에 있다!",탑툰
109,109,차원이동 레벨업,시대만왕,#소년물#시스템#레벨업#판타지#금,"[정령사:나타르전기] [소르골전기:천년전쟁] 제작진의 2020신작! 삼류 웹소설 작가에서 구독자 백만의 일류 너튜버가 된 '사윤재'. 그 비결은 꽤 괜찮은 외모와 백만안티를 부르는 관종 어그로에 있다. 비록 지금은 어그로로 먹고 살지만 가끔은 관종짓 말고 정상적으로 새로운 삶을 시작하고 싶은 맘이 들 때도 있다. 그러던 어느 날 난데없는 교통 사고와 함께 시스템이 구동되었다. [시스템이 활성화 되었습니다.] [메인 맵이 현재 장소로 고정되었습니다.] ""아니... 내가 새로운 삶을 원한 건 그냥 푸념이었다고!!!"" ""다시 원 세상으로 돌려줘!!!"" [전체 맵을 활성화하면 자유로운 이동이 가능합니다.] 뭐야? 그럼 레벨업을 하면 원래 세상으로 돌아갈 수 있단거야? 과연 '사윤재'는 무사히 지구로 돌아갈 수 있을까?",탑툰
110,110,무법신선의 도시강림,가람&편연연우중,#로맨스#액션#무협#드라마#판타지#금,"누군가는 나를 천존(天尊)이라, 천제(天帝)라 부르기도 했다. 하지만 지금 내 이름은 '임 윤'. 삶의 목표는.. 오래전에 놓친 내 연인을 찾는 것! 그러나 겨우 다시 만난 연인은 날 기억하지 못하고, 오히려 기억을 찾는 것을 거부하는데... ""네 곁에서 온갖 위협으로부터 널 지킬 거야.""",탑툰
111,111,계약 남편에게 끌리는 이유,열문그룹&장미 스튜디오,#계약 결혼#복수#재벌#로맨스#드라마#금,"혼인신고 전날 남자친구의 바람을 목격해버린 '윤수빈'. 깊은 배신감에 '수빈'은 복수를 결심하게 되고 우연히 자신처럼 혼인신고 날 상대에게 바람맞은 WOO 컴퍼니 대표 '우도준'을 만나게 되는데... ""당신도 지금 상황 곤란한 거 같은데, 이렇게 된 거 우리 계약 결혼을 해보는 건 어때요?""",탑툰
112,112,소르골 전기: 천년전쟁,시대만왕,#무협#시대극#이세계#드라마#판타지#금,"게임 BJ인 '희청'은 <정령사: 나타르 전기> 게임을 하던 도중에 소르골 캐릭터를 뽑은 첫번째 유저가 되고 의문의 전화 한 통과 함께 미지의 세계로 넘어간다. 진시황의 암살이 성공해 통일되지 못한 상태로 천년을 이어져온 전국시대. 각 국가마다 발전시킨 무공비급과 신식기술이 치열하게 대립하는 가운데, 불사불멸의 소르골을 지닌 주인공의 활약이 시작된다. 땅의 결계 지쇄 9경과 하늘의 결계 천봉3관을 돌파하고 천년전쟁을 마무리 할 인물은 과연?",탑툰
113,113,주인님의 예비신부로 환생했습니다,iReader,#배신#환생#복수#드라마#금,"주인과 함께 전장을 누비던 백호 백랑, 어느 날 전장에서 부하의 배신으로 주인과 백랑은 함께 죽임을 당하게 된다. 자신이 죽은 줄 알았던 백랑, 그녀는 예전 그녀의 주인과 혼담이 있었던 여인의 몸으로 환생하게 된다. 과연 주인은 그녀가 백랑 이었다는 걸 알아볼 수 있을까? 그리고 그 둘은 과연 자신들을 배신한 부하를 찾아 복수를 하게 될까?",탑툰
