,title,author,genre,story
22,나 냄새나?,글 / jsr / 그림 / 완숙바나나 / 30화 완결 / ,BL,저주로 정체불명의 냄새가 나는 지호재와 십년짜리 해바라기 한건우. 이상한 교수의 등장으로 새삼스레 건우를 의식하게 된 호재는 급기야 야한 꿈을 꾸고 마는데…
23,야광충 [단행본],글/그림 / 박원빈 / 14화 완결 / ,드라마,죽음보다 더한 고독이 새벽 안개처럼 피어오르고 음모와 배신이 어둠으로 내려 앉을때 피 튀는 살인이 진행되고... 너를 위해 두 주먹을 움켜 쥐었다. 사랑을 위해... 복수를 위해…
24,무림가의 상속녀 [개정판][올컬러],글 / 한은성 / 그림 / 권열희 / 원작 / 한은성 / 23화 완결 /,로맨스,"태주에게 유경은 용서할 수 없는 이유밖에 없는 여자였다. 감히, 입양아 주제에 그의 재산을 상속받고 감히, 그의 욕망에 불을 당기고 감히, 그의 심장에 통증을 심는 유경을 어떻게 용서할 수 있단 말인가, “1년 동안 내 정부로 살아.”"
25,미치도록 사랑스러워,글/그림 / 권열희 / 25화 완결 / ,로맨스,"발육부진아와 살인미수범, 빌딩 옥상에서 만나다! 뭐~?! 쭉쭉빵빵한(?) 나보고 ‘발육부진아’라고? 나이 많은 아저씨라서 예의 좀 갖춰주려고 했더니, 이거 안 되겠는걸? 어디 발육부진아한테 톡톡히 당해보시지! ...응? 근데 의외로 인간적인 면도 있잖아? 감히(?) 나에게 겁도 없이 말대꾸를 해대는 스물 셋의 당돌한 꼬맹이. 내가 얼마나 무서운 사람인지 보여주지! ....요즘 자꾸만 그 아이의 얼굴이 떠오르는 이유는 뭘까?"
26,보고싶고 품고싶고 [개정판],글 / 민은아 / 그림 / 권열희 / 원작 / 중전 / 74화 완결 /,로맨스,꽃을 찾아든 나비처럼 꽃의 아름다움에 취해 잠시 시선을 멈추었다 줄기를 잡은 뒤 손에 힘을 주어 꽃 한 송이를 꺾었다. 입술만 닿았을 뿐인데도 온몸에 신열이 나는 것처럼 뜨거웠다. 뜨거운 피를 쉴 새 없이 뿜어낸다. 그렇지 않고서야 이렇게 뜨거울 수가 없다.
27,차가운 온실,글/그림 / 지상 / 110화 완결 / ,BL,"[날 사로잡아 봐. 창부처럼 몸을 부비든, 달콤한 말로 유혹하든...] ""난 네가 발버둥칠수록 흥분되거든? 계속 원한다면 기꺼이 응해줄 수 있어."" 사랑하는 이의 복수를 꿈꾸는 세진. 세진에게 접근하는 남자는 원수의 최측근인 규련.  두 남자의 치명적인 사랑 게임이 시작된다. ""날 사로잡아 봐. 창부처럼 몸을 부비든, 달콤한 말로 유혹하든... 성공하면, 네 소원을 들어주지."""
28,내가 안는 건 너뿐이야 [개정판],글/그림 / 후세야 니와카 / 18화 완결 / ,로맨스,"""'저 같은 사람'? 내가 얼마나 참고 있는지도 모르면서."" 곧잘 긴장하는 성격 때문에 좀처럼 취직하지 못 하고 있는 미노루. 소개받은 로펌에 면접을 보러 갔는데, 인사를 하자마자 채용이 결정되었다?! 소장인 죠가사키 선생님은 멋있고 일도 잘하고 멋진 여성 지인도 셀 수 없이 많은 사람. 그런 그에게 저녁 식사를 권유받아 긴장한 탓에 그만 너무 취해서 죠가사키의 집에서 쉬게 된다. 그가 미노루를 위해 자리를 피하려고 하자 가지 말라고 붙잡았을 뿐인데… 더는 참을 수 없어진 죠가사키는 부드러운 키스를 해온다."
29,연하남은 웃는 얼굴로 나를 속인다 [개정판],글/그림 / 무라카미 미치코 / 45화 완결 / ,로맨스,"""좋아합니다. 저랑 사귀어주세요."" 갑작스러운 부하 직원의 직설적인 고백에 30살 미오는…. 식품 메이커에서 일하는 미오는 미인이지만 연애를 피하고 있는 중. 그런데 독신을 결심한 30살의 생일, 5살 연하에 일도 잘하고 자연 미남인 히가에게 축하받고 고백까지 받았다! 그의 진지한 눈동자에 망설이면서도 끌리는 미오. 게다가 어떠한 사건으로 인해 동거를 시작하게 되는 두 사람. ""미오 씨의 솔직한 모습 10개를 찾아내면 안아도 될까요?"" 라니…. 하지만 이 연애에는 비밀이 있는데?!"
30,스위치,글 / 지뚱 / 그림 / 김동찬 / 106화 완결 / ,액션,5명의 일진들에게 괴롭힘을 당하던 최백호는 폭력에 굴복해 비굴한 웃음을 지으며 힘겨운 중학 시절을 보내고 있었다. 어느날 일진들의 폭력에 죽음의 공포를 느끼게 된 최백호는 눈앞이 흐려지고 기억이 사라지는 '스위치 온' 상태가 되어 5명의 일진들을 모두 쓰러뜨리게 되고... 그날부터 일진들의 셔틀이었던 최백호는 몰려다니는 놈들만 보면 혼자 달려들어 무자비하게 패 버리는 일진들의 저승사자가 되고 일진들에게 공포의 대상이 된다. 절대강자 도창수가 나타나기 전까지는...
31,이대로 멈출 순 없다,글 / 자룡 / 그림 / 골왕 / 145화 완결 / ,드라마,"사상 최악의 막장 쓰레기 문제아 학교, 정문여상에서 살아남기! 자타공인 날라리 소연은 폭력 사건 주동자로 지목되어 똥통 학교인 정문여상에 전학을 가게 된다. 친어머니 집에 얹혀살게 된 소연은 자신을 둘러싼 모든 부당한 대우에 분노한다. 설상가상으로 전학 첫 날, 왕따 폭행으로 전학 왔다는 ‘오해’가 퍼지고, 상상도 못 할 만큼 저질인 양아치들과 보이지 않는 암묵적인 규칙이 소연을 압박해온다. 민주와 엮여 엉겁결에 오합지졸 배구부까지 가입하게 되어 자연스레 온갖 사건에 휘말리지만... 소연의 ‘오해’에 대해 쉽게 판단하지도 않고 정면으로 부딪치는 친구들과 함께하며 점점 녹아들기 시작한다!"
