,id,title,author,genre,story
24,24,영애의 경호관,글 / 러스츄 / 그림 / 전경민 / 원작 / carbo(도효원) / 80화 완결 / ,#로맨스 #소설원작 #완결로맨스,"국정원 임무를 위해 시작한 연애, 그런데 이 영애님 뭔가 수상하다?"
25,25,하렘에서 살아남기,글/그림 / 전분 / 60화 완결 / ,#개그 #완결무료 #완결개그,"전직 복서 ‘유준’. 여친에게도 차이고, 자동차에도 차인 후 눈을 뜬 곳은 연애 시뮬레이션 게임 속!  게임 시스템은 [남자 캐릭터들을 공략하면 환생할 수 있다] 고 말하고, 유준은 여자친구였던 ‘지혜’를 다시 한 번 만나고자 하는 강렬한 마음에 퀘스트를 수락한다. 하지만 남자 캐릭터들의 '하♡트'를 공략해야 하는데, 어째서인지 주먹이 먼저 나간다?!"
26,26,방과후 레시피,글/그림 / 혜루 / 65화 완결 / ,#로맨스 #힐링 #학원로맨스 #청춘로맨스 #음식&요리 #감성드라마 #완결무료,음식을 사랑하는 소녀 소금은 꿈에 그리던 요리 고등학교에 합격한다. 학교에 진학하기 위해 이모네 집으로 이사하게 된 소금은 그곳에서 자신에게 상처를 주었던 첫사랑 은재와 재회한다. 우리는 과연 예전처럼 다시 친해질 수 있을까? 요리고에서 펼쳐지는 단짠단짠 순정 로맨스! 2021 '첫사랑을 찾습니다' 로맨스 공모전 대상 수상작.
27,27,호랑신랑뎐,글/그림 / 고추참치 / 114화 완결 / ,#판타지 #무해한 #힐링 #연상연하 #동물 #완결무료 #완결판타지,산 속에 사는 금슬 좋은 부부! 그러나 이 부부에겐 어딘가 특별한 점이 있다.  그건 바로.. 신랑이 사람처럼 걸어다니고 말도 할 수 있는 호랑이라는데..?  무뚝뚝하지만 마음씨 착한 호랑이 신랑과 장난스럽고 수다스러운 인간 아내가 만나 벌어지는 좌충우돌 일상 이야기!
28,28,가짜 동맹,글/그림 / 케냠 / 76화 완결 / ,#로맨스 #소꿉친구 #2021 지상최대공모전 #계약연애 #학원로맨스 #친구>연인,소꿉친구와 하루아침에 커플이 되었다?! 통제가 강한 부모님들을 안심 시키고 자유롭게 생활하기 위해 동맹을 맺은 두 모범생 ‘윤세이’와 ‘김재하’. 동맹을 들킬 위기를 모면하기 위한 두 사람의 가짜 커플 행세가 시작된다!
29,29,물고기로 살아남기,글/그림 / 동우 / 61화 완결 / ,#판타지 #동물 #완결무료 #완결판타지,"믿었던 동료의 배신으로 죽을 위기에 처한 '이유신'은 죽음의 순간,  한줄기 빛을 보게 된다.  ""새로운 삶을 다시 시작하시겠습니까?""  정신을 차리자 눈앞에 광활한 저수지가 펼쳐져 있었고 몸은 물고기로 변해 있었다. 물고기가 되어버린 그는 과연 모든 시련을 이겨내고 가족들의 품으로 돌아갈 수 있을까?"
30,30,홀리데이,글/그림 / 광진 / 무료 53화 / ,#드라마 #완결무료 #완결드라마,"산업화가 시작되고 지구의 온도는 계속해서 오르고 있다. 이대로는 지구가 멸망하지만 아무도 관심이 없다. 천재 소년 강마루는 지구를 구하기 위해 프로젝트 '홀리데이'를 실행한다. 전 인류를 위함이다, 강마루는 수단과 방법을 가리지 않는다."
31,31,그마남 이야기,글/그림 / 김밀콩 / 767화 완결 / ,#판타지 #세계관 #완결판타지,"그 마법사가 남기고 간 이야기. 마법이 사라진 지 어언 300년. 이 세상에 남은 마지막 마법사와 제물.사랑과 우정과 희망,  거기에 독자의 인내심마저 부숴버릴 호구들의 이야기."
32,32,임술년 화요일,글/그림 / 엥비 / 117화 완결 / ,#판타지 #타임슬립 #완결판타지,"[실종된 동료를 찾아 조선시대로] 학술연구에 한해 타임머신이 제공되는 시대, 한 연구원이 조선시대에서 실종된다. 실종자를 찾아 떠난 3인의 여정."
33,33,"아, 쫌 참으세요 영주님!",글/그림 / 새우초밥 / 원작 / daybook / 88화 완결 / ,#로맨스 #소설원작 #완결로맨스,"작고 가난한 영지 ‘화이트’의 영주, 로즈. 영주민들과 오순도순 잘 먹고 잘살고 싶었는데, 갑자기 이종족 이주민이 늘고 자꾸 사건에 휘말린다?!  막강 능력 영주님 ‘로즈’와 그녀를 영지에 몰래몰래 숨겨 놓고 보호하고픈 스승, ‘대마법사 이그드라실’의 유쾌 발랄 로맨스 판타지!"
34,34,노량진 공격대,글 / 잭한 / 그림 / 이리몽 / 40화 완결 / ,#액션 #다크판타지 #완결액션,"게임으로 입시를 조져버린 노량진 N수생 '지건'. 어느 날 ""게임이 현실이었으면...""하고 빌며 원룸에서 자다 일어났더니 진짜로 게임이 현실이 되어버렸다...! 꿈과 희망이 넘쳐날 줄 알았던 세상은 꿈도 희망도 없는 지옥도가 되어 버렸고, 할 줄 아는 것이라곤 게임밖에 없던 N수생 지건. 게임이 되어버린 세상에서 가족을 구하기 위해 목숨을 건 레이드를 시작한다!"
35,35,중매쟁이 아가 황녀님,글/그림 / 박카린 / 원작 / 지미신 / 114화 완결 / ,#로맨스 #육아물 #회귀 #빙의 #소설원작 #완결무료 #완결로맨스,"피폐 소설 속 아가 황녀로 환생하게 된 주인공은, 자신을 키우면서 고생하는 이모를 위해 폭군 남주인 삼촌이 있는 궁으로 들어설 결심을 한다. 그런데 실제로 만난 삼촌은, 그저 애정결핍이 쪼~끔 있어보일 뿐인데..? 이모도 사랑하고 삼촌도 사랑하는, 아가 황녀님의 러블리 중매 소동"
