,id,title,author,genre,story
114,114,로잘린 보가트,글 / 삼월에 / 그림 / 마하 / 원작 / 하노HANO / 화요웹툰 / ,#로맨스 #고자극로맨스 #궁중로맨스 #소설원작,"""남편이 어여뻐야 시가에 돈벼락이 내리지 않겠어요?"" 왕족과 귀족의 사치로 재정이 무너져가는 칼라브리아 왕국. 평민의 신분으로 거부가 된 부르주아, 보가트 상단은 자신들이 유일하게 갖지 못한 명예를 얻기 위해 보가트 상단의 천덕꾸러기 차녀 로잘린과 칼라브리아 왕가의 최고 미인, 왕세자 로비엔을 결혼시키고자 하는데···. 돈으로 산 명예, 혼인으로 막은 왕가의 파산, 뜻하지 않은 결혼을 하게 된 둘은 서로의 치부를 감싸안고 가까워질 수 있을까."
115,115,폭군의 심장을 쥐었다,글 / 아리 / 그림 / Nobena / 원작 / 유세유 / 화요웹툰 / ,#로맨스 #소설원작,"황태자의 유일한 친구인 나, 유세니엘 하르드란트. 어느 날, 황태자에게 나쁜 영향을 끼쳤다는 이유로 우리 가문은 수도에서 쫓겨난다. 14년 만에 재회한 그는 몹시도 달라져 있었다.  왜 변했냐는 물음에 내가 좋아하는 모습이기 때문이라고 대답하는 황태자. 아니, 황제 테스발룬 노이시빌. 하지만 달라진 건 외모만이 아닌 것 같다."
116,116,하우스키퍼,글 / 채용택 / 그림 / 유현 / 화요웹툰 / ,#판타지 #슈퍼스트링 #아포칼립스 #sf #먼치킨 #감염,'A.I가 인간에게 반역하는 것은 인간을 위해서이다.' A.I 혁명이 일어난 세계에서 사상 최악의 바이러스가 창궐하고 하스티의 주인 네빌은 좀비화가 된다. 세계연합정부는 환자들의 치료를 포기하고 감염확산을 막기 위해 좀비 학살 정책을 벌인다. 인간이 인간을 포기한 최악의 상황에서도 하스티는 주인인 네빌을 포기할 수 없었다. 좀비가 된 주인을 지키기 위한 A.I들의 처절한 사투가 시작된다.
117,117,사표내고 이계에서 힐링합니다,글 / 덤보 / 그림 / 파란 / 원작 / 딥블랙 / 화요웹툰 / ,#판타지 #이세계 #음식&요리 #소설원작,"평범하지만 행복한 삶을 살던 주인공 이수. 5년 전 갑작스레 부모님을 잃고 폐인이 되어 하루하루를 힘겹게 살아간다. 숨 막히는 일상에 메말라가던 그때, 다용도실에서 차원문이 열렸다. 가본 적 없는 곳, 무엇이 있을지 모르는 곳. 평민으로 시작해 영주까지, 이세계에서 잔잔하게 즐기는 힐링 라이프."
118,118,빅맨,글/그림 / 하하영 / 화요웹툰 / ,#스포츠 #농구 #스포츠성장,키가 크다는 건 엄청난 축복이라고? 208cm인 나한테는 그저 저주일 뿐이다!  큰 키를 가진 은덕은 입학 첫날부터 여러 체육 부서 선배들에게 쫓기게 되는데...  그때 같은 반 여자아이에게 도움을 받게 된다. 그런데 그녀가 데리고 간 곳이 다름 아닌 농구장..?!  빅맨 나은덕의 청춘 성장 학원물!!
119,119,빌런투킬,글 / 퓨핀 / 그림 / 은지 / 화요웹툰 / ,#판타지 #피카레스크 #사이다 #이능력배틀물 #소년왕도물 #복수극,"동료를 살해했다는 억울한 누명을 쓰고 사망한 카시안. 모든 게 끝이라고 생각한 순간. 그의 영혼은 어느 소년의 몸에 빙의되어 빌런으로 각성한다. 선망의 대상이자 대중의 지지를 받던 탑클래스 싸이커였던 그가 하루아침에 빌런이 되다니! 그는 자신의 운명을 받아들이기 힘들다. 복수와 분노! 거듭되는 파괴적인 충동으로 이성까지 잠식당할 위기에 처하지만, 신비로운 존재 모로스의 도움과 초인적인 자제력으로 이를 극복해 낸다. “대재앙급이라고?! 어디.. 화끈하게 터트려 볼까!!”"
120,120,짝사랑의 마침표,글/그림 / 숭어 / 화요웹툰 / ,#로맨스 #짝사랑 #하이틴,"고백 성공률 0%의 짝사랑마스터 해리. 굴욕적인 19번째 실연장면을 우연히 예찬에게 들키고 만다. 다시는 아무도 안 좋아하겠다고 다짐했지만, 또 짝사랑을 시작해버린 해리는  20번째 실연을 막기 위해 예찬의 도움을 받기로 하는데... 과연 이번 사랑은 성공할 수 있을까?"
121,121,"왕게임
휴재",글 / 신형욱 / 그림 / 범고래 / 화요웹툰 / ,#액션 #블루스트링 #학원물 #서스펜스,절대권력을 손에 넣게 된 소년의 학원액션 서스펜스! 폭력에 순응하며 비굴한 학창 시절을 보내던 고등학생 ‘황초민’. 어느 날 절연했던 친형의 사망 소식과 함께 그의 핸드폰을 갖게 된다. 형이 거대 폭력서클 「황제사단」의 단장이라는 사실을 알게 된 황초민은 그를 사칭하여 사단을 조종해 쓰레기들을 처단하기 시작하는데... 절대로 들켜선 안 될 왕게임이 시작된다!
122,122,에이머,글/그림 / 구동인 / 화요웹툰 / ,#판타지 #두뇌싸움,"작은 우연은 역사를 만든다. 지구를 침공한 이성인 팜킨 일당과, 그들을 막아선 초월자 에이머와 지구인의 이야기!"
123,123,짐승의 꽃,글 / 하브린 / 그림 / 옆집찰스 / 원작 / 황도톨 / 화요웹툰 / ,#로맨스 #고자극로맨스 #2030연애 #로판 #소설원작,"태어날 때부터 몸에서 나는 지독한 악취를 이유로 부모에게 버림받고 주변 사람들에게 배척당하는 삶을 살아온 라일라. 쫓겨나듯 숲속의 버려진 오두막에서 혼자 생활하던 라일라에게 '냄새를 맡지 못하는' 남자 비오스트가 어느날 갑자기 나타나 라일라에게 친절하게 군다. 처음으로 라일라에게 손을 내밀어주고, 처음으로 라일라에게 다정함을 알려준 비오스트. 라일라는 그를 사랑하지 않을 수 없었다. 자신이 그로인해 곧 죽을 운명이라는 것을 깨닫고 난 뒤에도.  ""나와 같이 가요, 라일라. 내가 이 빌어먹을 시궁창에서 구해주겠어요."" ""비오스트, 내 인생의 구원자. 당신이 정말... 좋아."""
