,id,title,author,genre,story
40,40,삵의 발톱,글/그림 / 손영완 / 190화 완결 / ,#무협/사극 #완결무협/사극,"중국의 위촉오시대, 삼국지연의만이 전부가 아니다.    고구려인, 백제인의 시각에서 바라본 삼국지.가상 역사 드라마가 시작됩니다."
41,41,카오스어택,글/그림 / 맛스타 / 87화 완결 / ,#판타지 #완결판타지,지구는 바야흐로 영웅시대 평범한 고등학생과 엉뚱발랄 영웅들의 좌충우돌 에피소드!
42,42,새벽9시,글/그림 / 서재일 / 47화 완결 / ,#스릴러 #완결스릴러,어둠이 멈춰버린 시간 새벽 9시. 오지마을 '오왕리'가 감추고 있던 비밀이 드러난다.
43,43,나의 목소리를 들어라,글/그림 / 이현민 / 38화 완결 / ,#개그 #완결개그,내세울 것 없는 남자에게 찾아온 대기업 면접의 기회. 본격 열혈 면접이 시작된다! '들어는 보았나! 질풍기획!' 이현민 작가의 신작 <나의 목소리를 들어라!>
44,44,사랑일까?,글 / 남지은 / 그림 / 김인호 / 94화 완결 / ,#로맨스 #완결로맨스,"머리부터 발끝까지 단 한 구석도 마음에 들지 않는 그녀! 그런데 그녀 때문에 내가 아파. 이게, 사랑일까? 남지은, 김인호 작가의 <우연일까?>에 이은 신작, <사랑일까?>"
45,45,소년전[Limit],글/그림 / 라디야 / 136화 완결 / ,#판타지 #완결무료 #완결판타지,선택받은 소수에게만 허락된 무기. 한.정.무.기. [Limit]
46,46,우주전함 몰라몰라,글/그림 / 고리타 / 37화 완결 / ,#개그 #완결무료 #완결개그,전인류의 개념을 건 거대한 모험이 시작된다!  200만 광년 우주를 넘어 당신의 전두엽을 강타할 초대형 SF 스페이스 블록버스터를 빙자한  본격 평범 보통 일상 생활 개그만화!
47,47,사랑을 연기하다,글 / 김작가 / 그림 / 유성연 / 무료 7화 / ,#드라마 #완결드라마,"시한부 인생을 선고 받은 남자, 계약 연애를 시작하다."
48,48,기타맨,글/그림 / 손규호 / 64화 완결 / ,#드라마 #감성드라마 #완결무료 #완결드라마,의문의 기타리스트 포츠만.  이 시대를 살아가는 우리에게 그의 기타 연주가 던지는 메시지.
49,49,개판,글/그림 / 현욱 / 170화 완결 / ,#액션 #완결액션,스스로를 정의라 부르는 조직 아마란스.   버려진 투견 바울이 겪는 그들의 이야기
50,50,아는사람 이야기,글/그림 / 오묘 / 61화 완결 / ,#로맨스 #완결로맨스,"25세 세 여자 미라 여름 정아의 소소하고 평범한, 울고 웃고 사랑하는 이야기. 나와 당신과 그리고, <아는사람 이야기>"
51,51,패션왕,글/그림 / 기안84 / 100화 완결 / ,#드라마 #드라마&영화 원작웹툰 #완결드라마,멋있어지고 싶은 그들의 이야기.
52,52,맨 vs 던전,글/그림 / 이말년 / 5화 완결 / ,#개그 #완결무료 #완결개그,하루종일 게임만 하다가 '던전스트라이커' 게임 속으로 빨려들어간 이말년!   과연 이말년은 던전스트라이커의 세계에서 생존할 수 있을 것인가?   본 컨텐츠는 이말년 작가와 함께하는 한게임 '던전스트라이커'의 브랜드 웹툰 입니다.
53,53,퐁당훈녀클럽,글 / 손제호 / ,#로맨스 #완결무료 #완결로맨스,흔녀가 훈녀가 되는 뷰티 시크릿의 정체는?!  와일즈고와 예란고에서 펼쳐지는 국내최초! 본격 훈녀생정 웹툰에 퐁당~빠져보세요!  본 웹툰은 티엔의 브랜드 웹툰입니다.
54,54,오늘의 낭만부,글/그림 / 억수씨 / 103화 완결 / ,#드라마 #완결무료 #완결드라마,바쁜 일상에 지친 그대~ 당신이 필요한 최고의 낭만을 제공해 드립니다!  <연옥님이 보고계셔> 억수씨 작가의 신작 웹툰.
55,55,닭통령 계양반,글/그림 / 미티 / 33화 완결 / ,#드라마 #완결드라마,"'남기한엘리트만들기','고삼이 집나갔다' 미티의 스마트툰 신작! 치킨을 향한 사랑과 우정, 그리고 전쟁, 본격 치킨 막장 드라마!"
56,56,그린보이,글 / 정재한 / 그림 / 임진국 / 143화 완결 / ,#스포츠 #격투기 #완결무료 #완결스포츠,"챔피언을 노리는 거침없는 여자, 재인! 그녀를 동경하는 순둥이 남자, 태진!  챔피언을 향한 도전과 어울리지 않는 두 사람의 여름같은 사랑이야기"
57,57,일상날개짓,글/그림 / 나유진 / 267화 완결 / ,#일상 #완결일상,싱글맘 꼬꼬댁씨와 그의 아들 아기새가 살아가는 투닭투닭 성장스토리! 사랑스러운 이들의 <일상날개짓>
58,58,비흔,글 / 정재한 / 그림 / 황영찬 / 197화 완결 / ,#무협/사극 #완결무료 #완결무협/사극,"잊혀진 나라 백제, 그리고 싸울아비. 패자의 역사 뒤로 전설이 되어 사라진 검은 이리 '흑랑' '비흔'이라는 이름으로 새로운 전설을 시작한다."
59,59,무한동력,글/그림 / 주호민 / 무료 15화 / ,#드라마 #완결드라마,'신과함께' 주호민이 청춘에게 전하는 이야기  당신의 꿈은 무엇인가요?
60,60,달콤한 인생,글/그림 / 이동건 / 162화 완결 / ,#일상 #공감성수치 #완결일상,커플과 싱글들의 달콤한 이야기 직장인과 백수들의 달콤한 에피소드 ...그런데 왜 이렇게 씁쓸한거지?
61,61,경운기를 탄 왕자님,글/그림 / 무적핑크 / 18화 완결 / ,#개그 #완결개그,"'실질객관동화' 무적핑크 작가의 신작! 싹수 노란 남자의 농사 정복기, 오빤 강남 농부 스타~일!"
62,62,스펙트럼 분석기,글/그림 / 도국 / 17화 완결 / ,#드라마 #완결드라마,"코미디언과 헤어디자이너, 그들이 만드는 낭만과 꿈의 대화."
63,63,"초오오~액션, 개그반",글/그림 / 현용민 / 5화 완결 / ,#개그 #완결무료 #완결개그,웃지 않는 개그반의 반장이 이제는 초오오~액션에 도전한다.   개그반 반장의 일상에서 초오오~액션을 확인하라!   본 컨텐츠는 현용민 작가와 함께하는 한게임 '크리티카'의 브랜드 웹툰 입니다.
64,64,꽃밭에솔,글/그림 / 209 / 62화 완결 / ,#드라마 #완결무료 #완결드라마,꽃 공포증이 있는 고등학생 계은솔과 친구들의 성장 이야기
65,65,고삼이 집나갔다,글/그림 / 미티 / 64화 완결 / ,#드라마 #완결드라마,"'집은 나갔지만 막나가진 않았습니다' 대책없이 커져만가는 거짓말과 오해, 숨막히는 추격전 수능을 앞둔 고3 수험생들의 REAL 가출기!"
66,66,길에서 만나다,글/그림 / 쥬드 프라이데이 / 103화 완결 / ,#감성 #완결감성,서울 남산타워에서 우연히 만난 은희수와 미키의 로드무비.
67,67,와라! 원아이디,글/그림 / 지강민 / 8화 완결 / ,#개그 #완결무료 #완결개그,본 컨텐츠는 지강민작가가 전하는 'SK플래닛 One ID'홍보 캠페인으로 SK플래닛의 브랜드 웹툰 입니다.
68,68,스마트폰 게임 개발 이야기,글/그림 / 유영욱 / 59화 완결 / ,#일상 #완결무료 #완결일상,생생한 게임 개발의 현장을 전한다!  유쾌발랄 좌충우돌 게임 개발 이야기.
69,69,스쿨홀릭,글/그림 / 신의철 / 440화 완결 / ,#개그 #완결개그,신선생과 학생들이 함께 울고 웃는 대한민국 학교의 유쾌한 일상! 다함께 <스쿨홀릭>에 중독되어 봅시다!
70,70,이말년씨리즈,글/그림 / 이말년 / 무료 159화 / ,#개그 #완결무료 #완결개그,독특한 이야기 전개 방식을 확립한 이말년 작가가 선보이는  엉뚱한 상상과 황당한 설정의 새로운 개그 웹툰
71,71,후유증,글/그림 / 김선권 / 31화 완결 / ,#스릴러 #완결스릴러,한 순간의 사고 이후 조금씩 나타나는 후유증. 안대용의 삶은 그때부터 모든 것이 틀어지기 시작했다. <수사 9단> 김선권 작가 신작.
72,72,와라! 플래닛!,글/그림 / 지강민 / 12화 완결 / ,#개그 #완결무료 #완결개그,와라!플래닛! 그들의 정체를 파헤쳐주마!  본 컨텐츠는 지강민 작가와 함께 SK플래닛의 다양한 서비스를 소개하는 브랜드 웹툰 입니다.
73,73,MLB카툰,글/그림 / 최훈 / 704화 완결 / ,#스포츠 #야구 #완결무료 #완결스포츠,최훈 작가가 들려주는 생.생.M.L.B.뉴.스!! Major League Baseball Cartoon (Naver스포츠의 최훈스페셜에서 제공받는 컨텐츠로 업데이트일은 스포츠와 동일합니다.)
74,74,웨스트우드 비브라토,글 / 윤인완 / 그림 / 김선희 / 48화 완결 / ,#드라마 #슈퍼스트링 #완결드라마,"어떤 악기든, 원하는 선율을 찾아주는 남아프리카의 천재 악기 수리공 코넬리아 보보 워셔. '아일랜드','신암행어사' 윤인완 작가와 '바둑 삼국지' 김선희 작가가 선보이는 음악과 드라마."
75,75,한 살이라도 어릴 때,글/그림 / 서나래 / ,#일상 #완결무료 #완결일상,"'낢이사는이야기'의 서나래 & '나이스진타임'의 김진 & '고양이일기'의 필냉이, 그녀들이 뭉쳤다!  한 살이라도 어릴 때 떠나야 한다! 언제? 바로 지금! 잘나가는 그녀들의 여행기."
76,76,삼봉이발소,글/그림 / 하일권 / 37화 완결 / ,#드라마 #감성드라마 #완결드라마,"'너무 불공평해. 태어날 때부터 인생의 반이 결정되어 있잖아!' 외모지상주의에 상처받은 이들을 치유하는 감동의 웹툰 '목욕의 신', '3단합체 김창남' 하일권 작가의 데뷔작 <삼봉이발소>"
77,77,S라인,글/그림 / 꼬마비 / 52화 완결 / ,#판타지 #완결판타지,"가까운 미래, 사람들의 머리 위로 붉은 선이 이어진다. 선의 정체는 무엇인가? 시간이 지나고 사람들은 붉은 선을 S라인이라 부르기 시작한다."
78,78,2012 루키 단편선,글/그림 / 네이버웹툰 작가 / 7화 완결 / ,#드라마 #완결무료 #완결드라마,"전설적인 작가 이현세, 이두호가 직접 프로듀싱한 8명의 신인 작가 단편선 시즌2로 컴백!"
79,79,오란씨100,글/그림 / 박민경 / 76화 완결 / ,#드라마 #완결드라마,"관계폭탄녀 오란씨와, 폭탄녀 제거 지령을 받고 온 폭탄제거반 구욱.  인간관계 빵점녀 오란씨의 관계재활 프로젝트가 시작된다."
